title,Type,Based on other media,release_date,Studio,Notes,...7,...8,...9,...10,...11,...12
Blink,Original,0,2024-10-04T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Deadpool & Wolverine,Sequel,1,2024-07-26T00:00:00Z,Marvel,NA,NA,NA,NA,NA,NA,NA
Inside Out 2,Sequel,0,2024-06-14T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Inside Out 2,Sequel,0,2024-06-14T00:00:00Z,Pixar,NA,NA,NA,NA,NA,NA,NA
Young Woman and the Sea,Original,1,2024-05-31T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Beach Boys,Original,0,2024-05-24T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Tiger,Original,0,2024-04-22T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Diary of a Wimpy Kid Christmas: Cabin Fever,Sequel,1,2023-12-08T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Wish,Original,0,2023-11-22T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Dashing Through the Snow,Original,0,2023-11-17T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Marvels,Sequel,1,2023-11-10T00:00:00Z,Marvel,NA,NA,NA,NA,NA,NA,NA
Haunted Mansion,Original,1,2023-07-28T00:00:00Z,Walt Disney Pictures,Based on theme park ride,NA,NA,NA,NA,NA,NA
Indiana Jones and the Dial of Destiny,Sequel,0,2023-06-30T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Indiana Jones and the Dial of Destiny,Sequel,0,2023-06-30T00:00:00Z,Lucasfilm,NA,NA,NA,NA,NA,NA,NA
World's Best,Original,0,2023-06-23T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Elemental,Original,0,2023-06-16T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Elemental,Original,0,2023-06-16T00:00:00Z,Pixar,NA,NA,NA,NA,NA,NA,NA
The Little Mermaid,Remaster,1,2023-05-26T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Crater,Original,0,2023-05-12T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Guardians of the Galaxy Vol. 3,Sequel,1,2023-05-05T00:00:00Z,Marvel,NA,NA,NA,NA,NA,NA,NA
Peter Pan & Wendy,Remaster,0,2023-04-28T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Chang Can Dunk,Original,0,2023-03-10T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Ant-Man and the Wasp: Quantumania,Sequel,1,2023-02-17T00:00:00Z,Marvel,NA,NA,NA,NA,NA,NA,NA
Night at the Museum: Kahmunrah Rises Again,Spin-off,0,2022-12-09T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Diary of a Wimpy Kid: Rodrick Rules,Sequel,1,2022-12-02T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Strange World,Original,0,2022-11-23T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Disenchanted,Sequel,0,2022-11-18T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Black Panther: Wakanda Forever,Sequel,1,2022-11-11T00:00:00Z,Marvel,NA,NA,NA,NA,NA,NA,NA
